3442at7147,2L
3445at7147,3L
3469at7147,2R
3500at7147,X
3505at7147,3L
3510at7147,3R
3521at7147,3L
3551at7147,3R
3553at7147,3R
3556at7147,2R
3560at7147,2R
3562at7147,3L
3585at7147,3R
3601at7147,3R
3605at7147,X
3644at7147,2R
3647at7147,2L
3679at7147,2L
3700at7147,2L
3707at7147,X
3716at7147,X
3724at7147,2L
3746at7147,3L
3753at7147,2R
3786at7147,X
3789at7147,2R
3831at7147,2L
3841at7147,2R
3842at7147,2R
3861at7147,3R
3868at7147,X
3869at7147,2R
3884at7147,2R
3915at7147,2R
3921at7147,3R
3935at7147,3R
3937at7147,3R
4013at7147,2R
4015at7147,3L
4035at7147,3R
4042at7147,3R
4053at7147,2L
4076at7147,2R
4133at7147,X
4145at7147,4
4163at7147,2R
4165at7147,3L
4190at7147,X
4208at7147,2L
4218at7147,X
4227at7147,2R
4233at7147,3R
4244at7147,2R
4262at7147,3L
4270at7147,X
4283at7147,2R
4291at7147,2R
4293at7147,3L
4298at7147,3R
4304at7147,3R
4336at7147,X
4344at7147,X
4355at7147,3L
4382at7147,4
4396at7147,2R
4401at7147,X
4408at7147,2L
4416at7147,2L
4451at7147,X
4453at7147,2L
4461at7147,2R
4496at7147,3L
4497at7147,3R
4538at7147,2R
4541at7147,3L
4551at7147,3R
4568at7147,X
4573at7147,3L
4612at7147,3L
4661at7147,2R
4736at7147,3R
4794at7147,3R
4796at7147,3L
4801at7147,X
4853at7147,3L
4860at7147,3L
4872at7147,X
4886at7147,3L
4922at7147,2R
4924at7147,3L
4939at7147,2L
4953at7147,2R
4986at7147,3L
5008at7147,3R
5032at7147,3R
5041at7147,2L
5086at7147,4
5100at7147,X
5132at7147,3R
5170at7147,2L
5172at7147,3R
5188at7147,X
5195at7147,X
5203at7147,3R
5223at7147,2R
5264at7147,X
5281at7147,2L
5309at7147,2R
5354at7147,X
5382at7147,X
5385at7147,2L
5394at7147,X
5396at7147,2R
5439at7147,2L
5446at7147,2L
5461at7147,2R
5469at7147,3R
5481at7147,2R
5504at7147,2L
5553at7147,3R
5561at7147,2L
5566at7147,2R
5585at7147,2R
5593at7147,3R
5630at7147,X
5732at7147,2L
5770at7147,3L
5771at7147,3L
5799at7147,3L
5848at7147,X
5853at7147,2R
5858at7147,3R
5868at7147,3R
5950at7147,2L
5986at7147,X
6006at7147,3L
6011at7147,2R
6029at7147,X
6036at7147,X
6066at7147,3L
6077at7147,3R
6097at7147,3R
6114at7147,2L
6155at7147,2L
6178at7147,2L
6238at7147,2L
6258at7147,X
6281at7147,X
6287at7147,2R
6332at7147,2R
6359at7147,2L
6368at7147,3L
6375at7147,X
6383at7147,X
6414at7147,3L
6417at7147,3R
6450at7147,2L
6461at7147,2L
6484at7147,2R
6487at7147,X
6503at7147,2R
6508at7147,2L
6524at7147,2L
6536at7147,3R
6537at7147,2R
6539at7147,3R
6572at7147,3L
6635at7147,3L
6656at7147,2R
6739at7147,3R
6751at7147,3L
6780at7147,3L
6804at7147,X
6817at7147,2L
6820at7147,3L
6852at7147,3R
6861at7147,X
6869at7147,3L
6894at7147,2L
6900at7147,3R
6917at7147,3L
6946at7147,3L
6992at7147,3R
7011at7147,3R
7024at7147,2L
7032at7147,2L
7034at7147,3R
7035at7147,3R
7061at7147,3R
7071at7147,2R
7120at7147,2R
7133at7147,3R
7158at7147,X
7164at7147,2R
7171at7147,X
7181at7147,2L
7208at7147,X
7218at7147,2R
7270at7147,X
7272at7147,X
7282at7147,3R
7309at7147,2R
7311at7147,3L
7326at7147,3R
7340at7147,2R
7341at7147,3R
7349at7147,3L
7355at7147,3R
7365at7147,3L
7366at7147,3L
7384at7147,3L
7394at7147,2L
7403at7147,2L
7416at7147,3L
7424at7147,3L
7426at7147,2R
7429at7147,3L
7438at7147,2L
7466at7147,2R
7480at7147,2L
7526at7147,2L
7535at7147,2L
7558at7147,X
7573at7147,3R
7575at7147,3L
7592at7147,2L
7596at7147,3L
7616at7147,2R
7628at7147,2L
7642at7147,2L
7661at7147,X
7673at7147,3R
7707at7147,2L
7732at7147,3L
7736at7147,2R
7747at7147,2R
7754at7147,X
7772at7147,2R
7775at7147,3L
7792at7147,3R
7827at7147,X
7863at7147,3L
7870at7147,2R
7887at7147,X
7900at7147,X
7917at7147,2R
7954at7147,2L
7955at7147,3R
7966at7147,3R
8001at7147,X
8031at7147,X
8033at7147,2L
8037at7147,3R
8060at7147,X
8070at7147,3R
8084at7147,3R
8099at7147,2L
8101at7147,3R
8106at7147,X
8135at7147,3R
8171at7147,2R
8176at7147,X
8216at7147,2R
8225at7147,2L
8234at7147,3R
8245at7147,3L
8259at7147,3R
8286at7147,2R
8350at7147,3R
8365at7147,2R
8373at7147,3L
8389at7147,3R
8399at7147,2R
8406at7147,X
8407at7147,2L
8414at7147,X
8417at7147,2R
8418at7147,X
8453at7147,3R
8454at7147,2L
8472at7147,3L
8482at7147,2L
8492at7147,2L
8505at7147,X
8518at7147,3L
8522at7147,X
8534at7147,X
8543at7147,3L
8545at7147,X
8604at7147,2R
8618at7147,3R
8630at7147,3L
8652at7147,3L
8662at7147,X
8675at7147,3R
8698at7147,3R
8713at7147,2R
